year,month,attack_duration
2024,8,0 days 11:15:00
2024,7,1 days 08:00:00
2024,6,0 days 18:00:00
2024,5,0 days 08:00:00
2024,4,0 days 08:00:00
2024,3,0 days 08:00:00
2024,2,0 days 08:00:00
2024,1,0 days 08:00:00
2023,12,0 days 08:00:00
2023,11,0 days 09:00:00
2023,10,0 days 09:00:00
2023,9,0 days 08:00:00
2023,8,0 days 08:00:00
2023,7,0 days 08:00:00
2023,6,0 days 08:00:00
2023,5,0 days 08:00:00
2023,4,1 days 10:30:00
2023,3,0 days 02:10:00
2023,2,0 days 05:55:00
2023,1,0 days 08:00:00
2022,12,0 days 09:15:00
2022,11,0 days 01:30:00
2022,10,0 days 10:00:00
2022,9,0 days 00:59:00
